Repository Name,Stars,Repository Age,Accepted Pull Requests,Total Releases,Time since last update,Primary Language,Primary Language Number,Closed Issues %
freeCodeCamp,373026,3177,20492,0,75602,TypeScript,0,0.9884942764895803
free-programming-books,297310,3617,5680,0,76500,none,1,0.9655891553701773
awesome,268273,3344,624,0,76929,none,1,0.9244712990936556
coding-interview-university,264491,2648,372,0,77240,none,1,0.8905472636815921
public-apis,255108,2725,1871,0,75630,Python,2,0.9959758551307847
developer-roadmap,250385,2366,1629,1,78238,TypeScript,0,0.6310888252148997
system-design-primer,228591,2383,196,0,76642,Python,2,0.28957528957528955
build-your-own-x,216201,1946,121,0,76601,none,1,0.7053571428571429
react,212731,3757,9213,99,77829,JavaScript,3,0.9123752816221435
vue,205165,3691,1119,245,77807,TypeScript,0,0.9618694955964772
vue,205165,3691,1119,245,77809,TypeScript,0,0.9618694955964772
awesome-python,179799,3357,535,0,75605,Python,2,0
tensorflow,177431,2860,16193,195,75629,C++,4,0.9500554645819027
javascript-algorithms,174838,1992,282,0,77714,JavaScript,3,0.6363636363636364
You-Dont-Know-JS,170990,3581,360,0,75934,none,1,0.9123767798466593
Python,168078,2608,2337,0,75814,Python,2,0.9799537393986122
CS-Notes,166687,2031,375,0,78665,none,1,0.7777777777777778
bootstrap,165180,4421,8485,87,76092,JavaScript,3,0.9845311863946808
ohmyzsh,162086,5121,2938,0,78728,Shell,5,0.956090026478376
linux,156980,4384,9,0,76174,C,6,0
gitignore,151128,4684,1523,0,76536,none,1,0
vscode,150841,2924,19475,109,75742,TypeScript,0,0.954395692209341
computer-science,148628,3412,240,0,75815,none,1,0.9722675367047309
Auto-GPT,148029,174,961,18,75680,Jupyter Notebook,7,0.6805770221535291
awesome-selfhosted,147517,3019,2395,1,76723,none,1,1.0
Python-100-Days,139598,2015,12,0,2669,Python,2,0.16940789473684212
the-art-of-command-line,139176,3031,317,0,77330,none,1,0.5527426160337553
JavaGuide,136755,1948,887,0,79849,Java,8,0.9349240780911063
javascript,136244,3960,801,0,76996,JavaScript,3,0.9272727272727272
youtube-dl,123247,4693,1608,341,80917,Python,2,0.8542117861620883
youtube-dl,123247,4693,1608,341,80928,Python,2,0.8542117861620883
fucking-algorithm,118139,1295,232,1,76210,Markdown,9,0.5690747782002535
30-seconds-of-code,115412,2106,777,5,80936,JavaScript,3,0.9860627177700348
project-based-learning,115145,2338,182,0,79687,none,1,0.7125
go,114115,3305,1,0,76997,Go,10,0.8575353828606979
react-native,111615,3161,723,274,78549,C++,4,0.9418206707734429
transformers,111369,1773,10438,124,77025,Python,2,0.9531397917324077
next.js,111194,2526,13869,1000,78124,JavaScript,3,0.8804587311451331
electron,109026,3799,17919,1000,85152,C++,4,0.9571878503176213
awesome-go,107669,3349,3009,0,78584,Go,10,0.9982905982905983
axios,101535,3305,756,61,76163,JavaScript,3,0.9110851808634772
kubernetes,101433,3378,56235,623,78971,Go,10,0.9583162030058014
stable-diffusion-webui,101077,380,1390,16,75656,Python,2,0.7788952745849298
create-react-app,100680,2607,1944,83,82698,JavaScript,3,0.797743162026248
node,97504,3205,6727,353,77893,JavaScript,3,0.917065487368995
PowerToys,95004,1588,4142,84,80822,C#,11,0.7810835939481025
tech-interview-handbook,94481,2619,445,0,75908,TypeScript,0,0.7435897435897436
three.js,94286,4914,11230,148,84153,JavaScript,3,0.9683794466403162
TypeScript,93887,3368,13281,182,79146,TypeScript,0,0.8522751155947877
nodebestpractices,92588,2182,761,0,76281,Dockerfile,12,0.9035369774919614
three.js,94286,4914,11230,148,84157,JavaScript,3,0.9683794466403162
TypeScript,93887,3368,13281,182,79150,TypeScript,0,0.8522751155947877
nodebestpractices,92588,2182,761,0,76285,Dockerfile,12,0.9035369774919614
scrcpy,90655,2114,69,32,80388,C,6,0.6187256176853055
deno,90640,1940,8971,241,77973,Rust,13,0.8315236845245197
terminal,90230,2216,3348,93,2548,C++,4,0.8769615450939817
angular,89993,3275,3428,307,75845,TypeScript,0,0.9488797973894408
material-ui,88494,3305,16308,423,76652,TypeScript,0,0.921631146165464
awesome-chatgpt-prompts,88057,275,105,0,76893,HTML,14,0
ant-design,87463,3057,11946,602,76194,TypeScript,0,0.9663342553501237
vue-element-admin,83861,2333,313,49,84406,Vue,15,0.6606538895152199
java-design-patterns,83571,3314,1123,0,76428,Java,8,0.7862149532710281
storybook,80258,2728,8780,1000,79265,TypeScript,0,0.8542713567839196
thefuck,79232,3073,481,17,78259,Python,2,0.6686131386861314
animate.css,78517,4347,313,22,79321,CSS,16,0.972972972972973
realworld,76223,2748,410,0,82535,TypeScript,0,0.8982725527831094
papers-we-love,76151,3552,425,0,75802,Shell,5,0.9422222222222222
models,76090,2770,2304,36,13519,Jupyter Notebook,7,0.8543350989684974
Web-Dev-For-Beginners,75402,1030,473,0,76104,JavaScript,3,0.8854961832061069
laravel,74583,4473,1509,147,76939,PHP,17,0
models,76090,2770,2304,36,13521,Jupyter Notebook,7,0.8543350989684974
Web-Dev-For-Beginners,75402,1030,473,0,76106,JavaScript,3,0.8854961832061069
HelloGitHub,74734,2681,16,34,78675,Python,2,0.9545273234942162
laravel,74583,4473,1509,147,76941,PHP,17,0
LeetCodeAnimation,73633,1735,63,0,84856,Java,8,0.711864406779661
django,72882,4148,8367,0,75614,Python,2,0
every-programmer-should-know,72850,2204,98,0,79314,none,1,0.42857142857142855
free-for-dev,72636,3093,2269,0,77760,HTML,14,0
svelte,72299,2480,2900,13,84539,JavaScript,3,0.8494480395888847
FiraCode,72288,3220,131,29,1498,Clojure,18,0.7178487918939984
Font-Awesome,72182,4219,198,52,83353,JavaScript,3,0.7162986330178759
tailwindcss,71731,2161,1834,213,79022,HTML,14,0.9993275050437121
frp,71529,2816,483,84,81173,Go,10,0.9731894150417827
advanced-java,71485,1796,75,1,84161,Java,8,0.9787234042553191
gin,71271,3368,941,25,77712,Go,10,0.739277108433735
bitcoin,71232,4644,13240,43,78854,C++,4,0.953903051116101
opencv,71035,4066,11407,60,78506,C++,4,0.7589043844687469
pytorch,70472,2580,5459,45,75604,Python,2,0.676646540741151
nvm,69832,4891,690,64,78217,Shell,5,0.834493041749503
mall,69682,1981,1,2,83842,Java,8,0.9466950959488273
awesome-vue,69415,2878,3438,0,5404,none,1,0.8617511520737328
spring-boot,69213,3974,42,186,76383,Java,8,0.980533944539497
neovim,69159,3505,10652,33,75630,Vim Script,19,0.8625886524822695
hugo,68882,3716,2137,240,2495,Go,10,0.9139479197844956
Awesome-Hacking,68738,2716,27,0,80501,none,1,0
json-server,68245,3570,110,13,3758,JavaScript,3,0.4556603773584906
iptv,68213,1756,5767,0,83608,JavaScript,3,0.9746893695352048
tauri,68172,1516,3311,607,78168,Rust,13,0.8253113429821609
app-ideas,66736,1653,149,0,80418,none,1,0.33043478260869563
moby,66623,3882,18869,140,78941,Go,10,0.8340945059914086
Front-End-Checklist,65987,2151,173,1,84534,none,1,0.9930555555555556
GitHub-Chinese-Top-Charts,65210,1462,0,0,83696,Java,8,0.5625
elasticsearch,65004,4958,57268,118,83820,Java,8,0.8832090120261836
netdata,64943,3732,7190,69,80520,C,6,0.9635854341736695
reveal.js,64523,4473,386,40,83945,JavaScript,3,0.7072630646589902
flask,64059,4901,1516,30,77282,Python,2,1.0
godot,64032,3532,28759,49,79957,C++,4,0.8108389550414271
swift,63966,2874,44372,48,238,C++,4,0.5741493687138883
webpack,63477,4197,4436,405,75785,JavaScript,3,0.9792250960839306
awesome-mac,63239,2607,771,6,77402,JavaScript,3,0.7222222222222222
resume.github.com,60640,4595,84,0,76375,JavaScript,3,0.5315315315315315
clash_for_windows_pkg,60533,1783,7,207,75778,none,1,0.9596026490066225
interviews,60339,2394,42,0,2109,Java,8,0.4230769230769231
awesome-machine-learning,59943,3339,804,0,80167,Python,2,1.0
redux,59882,3021,1626,74,26084,TypeScript,0,0.9811133200795229
atom,59585,4246,3937,538,5827,JavaScript,3,0.94374671417723
cs-video-courses,59574,2510,130,0,75804,none,1,0
vite,59365,1233,3574,326,76579,TypeScript,0,0.9285250162443145
nest,59350,2404,5463,89,75974,TypeScript,0,0.991889699918897
keras,59139,3084,2872,51,77096,Python,2,0.9766081871345029
resume.github.com,60640,4595,84,0,76379,JavaScript,3,0.5315315315315315
clash_for_windows_pkg,60533,1783,7,207,75782,none,1,0.9596026490066225
interviews,60339,2394,42,0,2113,Java,8,0.4230769230769231
awesome-machine-learning,59943,3339,804,0,80171,Python,2,1.0
redux,59882,3021,1626,74,26088,TypeScript,0,0.9811133200795229
the-algorithm,59774,163,2,0,75891,Scala,20,0.7861409796893668
stable-diffusion,59727,392,5,0,1257,Jupyter Notebook,7,0.2751159196290572
atom,59585,4246,3937,538,5831,JavaScript,3,0.94374671417723
cs-video-courses,59574,2510,130,0,75808,none,1,0
vite,59365,1233,3574,326,76583,TypeScript,0,0.9285250162443145
nest,59350,2404,5463,89,75980,TypeScript,0,0.991889699918897
keras,59139,3084,2872,51,77102,Python,2,0.9766081871345029
markdown-here,59137,4133,20,11,5249,JavaScript,3,0.5074135090609555
angular.js,59092,4991,789,0,31041,JavaScript,3,0.9567430025445293
socket.io,58900,4926,418,59,79322,TypeScript,0,0.9756748739246515
github-readme-stats,58767,1154,840,0,77612,JavaScript,3,0.9109461966604824
ansible,58466,4201,37199,33,75799,Python,2,0.9824766355140186
architect-awesome,58431,1979,49,0,547,none,1,0.3188405797101449
awesome-react,57904,3318,772,0,76568,none,1,0.96875
Front-end-Developer-Interview-Questions,57788,4226,449,0,78590,Nunjucks,21,0.9699248120300752
jquery,57788,5269,640,8,556,JavaScript,3,0.9695632995147773
