title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
Add AirBnB setting to jshint settings file.,2,100,1,2,,2,3,2014-12-24T20:43:10Z,2014-12-27T06:16:17Z,2014-12-27T06:16:17Z,0,2 days 09:33:07
Refactor Passport/update FCC link,7,51,42,2,"Refactor passport to conform to jshint settings.
Remove html extension on FCC links in challenge 

fixes https://github.com/FreeCodeCamp/freecodecamp/issues/6 
",0,1,2014-12-31T05:35:50Z,2015-01-20T17:29:39Z,,160,20 days 11:53:49
Update Branden's Team Member Bio,10,2,2,1,"I know I entered massage therapist as most recent job on the initial form,
but that was two years ago. Plus, afterwards, I realized that writing a book for
a publisher counts as most recent job (I forget about freelance stuff sometimes)!
Also removed part about Hypercard because I figure most code campers
won't know what I was referring to.
",0,2,2015-01-09T15:55:49Z,2015-01-09T18:58:45Z,2015-01-09T18:58:45Z,343,0 days 03:02:56
Pull request twitter pic,12,2,2,1,"The profile picture pulled from twitter with `profile_image_url_https` will have `_normal.png` attached to the end of the url. According to the [Twitter Docs](https://dev.twitter.com/overview/general/user-profile-images-and-banners), normal = 48x48px (too small for the new bio pages).

I removed the last 11 characters ('_normal.png') and then added the `.png` back. I'm sure there is more elegant way to do it.
",1,2,2015-01-09T20:25:01Z,2015-01-10T04:33:39Z,,413,0 days 08:08:38
Angularize login,13,461,433,10,"Fixes email signup/signin issues and angularizes the email signup form. Also adds unique username check to profile.jade.
",0,1,2015-01-10T03:10:26Z,2015-01-10T04:31:13Z,,121,0 days 01:20:47
Forgot password,16,3,3,1,,1,2,2015-01-10T05:23:28Z,2015-01-10T18:56:01Z,2015-01-10T18:56:01Z,0,0 days 13:32:33
Edit wording of jquery exercises,21,4,4,1,"Removed 'the' from some of the questions for consistency. The rule applied: either use ""the <target> element"" or only ""<target>"" when not following with ""element."" Alternatively, instead of removing ""the,"" you could instead add ""element"" to the end of each reference to a target. But as it was, the wording was inconsistent.

Also removed extra ""from.""
",1,2,2015-01-12T19:31:28Z,2015-01-13T06:12:42Z,2015-01-13T06:12:42Z,353,0 days 10:41:14
Twitter auth,33,84485,194,413,"Solves issue [#32](https://github.com/FreeCodeCamp/freecodecamp/issues/32). Closing the issue upon submission of this PR.
",1,1,2015-01-17T22:46:48Z,2015-01-18T01:31:40Z,,122,0 days 02:44:52
One column challenges,34,84661,295,424,,0,2,2015-01-18T00:50:02Z,2015-01-18T02:53:49Z,,0,0 days 02:03:47
Twitter auth and bonfire,36,84485,194,413,"Resolves issue #32 and adds bonfire to FCC.
",0,2,2015-01-18T01:37:40Z,2015-01-18T02:53:26Z,2015-01-18T02:53:26Z,44,0 days 01:15:46
